path	sentence
common_voice_ky_17404269.mp3	Долбоордо жашыл курулуш өнүгө турган жаңы аймактар бөлүнгөн.
common_voice_ky_17404270.mp3	Алар аны айылдын так ортосунда сабап жатышты, эч ким болушкан жок.
common_voice_ky_17404274.mp3	Учурда дин кызматкери убактылуу кармоочу жайда камакта.
common_voice_ky_17404275.mp3	БШКнын чечими күтүлгөндөй эле болду.
common_voice_ky_17404276.mp3	Алардын ар бири эки полициянын машинасынан турат.
common_voice_ky_17404277.mp3	Булардын эч бири жасалган эмес.
common_voice_ky_17404278.mp3	Короз багып, урушка салып жүргөнүмө он жылдай болуп калды.
common_voice_ky_17404380.mp3	Жердин баарынан эле ыплас нерсе издей бербегиле, — деген ал.
common_voice_ky_17404381.mp3	Кыргыз элине пайдам тийсин деген максаты бар.
common_voice_ky_17404382.mp3	Азырынча Гүлбарчын да, Талант да өзүнө келе элек.
common_voice_ky_17404383.mp3	Ушундай эле абал Орусия менен Казакстанда байкалган.
common_voice_ky_17435151.mp3	Ташиевди бийликти басып алуу аракетин көргөнү боюнча күнөөлөшкөн.
common_voice_ky_17435152.mp3	Тай боксу боюнча эл аралык турнир Бангкок шаарында өткөн.
common_voice_ky_17435153.mp3	Тергөө бул эпизод боюнча Алексей Модиндин көрсөтмөсүнө таянууда.
common_voice_ky_17435154.mp3	Буга чейин Кубанычбек Кадыров суу ичип баштаган эле.
common_voice_ky_17435157.mp3	Бажы кызматында иш аракеттер планы, стратегия бар.
common_voice_ky_17435158.mp3	Ал мени сексуалдык ориентациямдын айынан коркуткан.
common_voice_ky_17435159.mp3	Ал сайтта бар, таанышса болот, — деди Занозанын тең түзүүчүсү.
common_voice_ky_17435719.mp3	Бирок Салянова өзү бул кылмышты саясий деп эсептейт.
common_voice_ky_17435720.mp3	Андан соң демонстранттарды кармоо башталган.
common_voice_ky_17435721.mp3	Эрежелер жазылып калат, — деди ал.
common_voice_ky_17435722.mp3	 Эми рейтинг ар бир матчтан кийин жаңыртылат
common_voice_ky_17435729.mp3	Жаштар бизнес клубунда мүчөмүн.
common_voice_ky_17435730.mp3	Аны менен кошо дагы сегиз адам абакка киргизилген.
common_voice_ky_17435731.mp3	Мындан тышкары, Дордой да жаман эмес оюн көрсөтүүдө.
common_voice_ky_17435732.mp3	Мен үчүн күтүлгөн эле нерсе болду.
common_voice_ky_17435733.mp3	Атамбаевдин сынына Отунбаева кабылды.
common_voice_ky_17435859.mp3	Кеңешип жатабыз, — деди Сапар Исаков журналисттерге.
common_voice_ky_17435860.mp3	Учурда пенсионер өзү жалгыз жашайт.
common_voice_ky_17435861.mp3	Баяндоо анын атынан жүрөт.
common_voice_ky_17435862.mp3	Бардык каармандардын аттары өзгөртүлдү.
common_voice_ky_17436469.mp3	Бул убакыт аралыгында ушунчалык кадрдык башаламандык болду.
common_voice_ky_17436470.mp3	Болгону дарыгерлер глюкоза, дары берип эптеп кармап турушат.
common_voice_ky_17436471.mp3	Малдарды калтыра албайбыз деген өңдүү себептерди айтышат.
common_voice_ky_17436473.mp3	Корукта аңчылыкка тыюу салынган.
common_voice_ky_17443353.mp3	Аларды которуп койсо болот.
common_voice_ky_17443354.mp3	Учурда жергиликтүү милиция өрт боюнча кененирээк иликтеп жатышат.
common_voice_ky_17443355.mp3	Аймак боюнча алдыңкы сапка Ош чыккан.
common_voice_ky_17443356.mp3	Мен алардын чогуу жашашына каршы эмесмин.
common_voice_ky_17443442.mp3	Нааразылык акциясынын катышуучуларын милиция коштоп жүрдү.
common_voice_ky_17443444.mp3	Темир Сариев — Кыргызстандын эң белгилүү саясатчыларынын бири.
common_voice_ky_17443445.mp3	Кыргыз жигиттеринин тилге күйгөндөгү абалын колдоп койдум.
common_voice_ky_17443446.mp3	Бирок чиркөөнүн өкүлдөрү прокуратуранын чечимине нааразы.
common_voice_ky_17443460.mp3	Милиционер тыкылдатканда, эшикти башкача көрүнгөн бир кыз ачты.
common_voice_ky_17443461.mp3	Текшерип көрсө болот, бюджеттен бир тыйын да кеткен жок, — деди ал.
common_voice_ky_17443462.mp3	Бул окуя түйүнү сизди өзүнө тартып алдыбы, же?
common_voice_ky_17443463.mp3	Жөн эле тигип, штаб кылып алышкан.
common_voice_ky_17443464.mp3	Кармалган Айнура Сим кош бойлуу.
common_voice_ky_17443465.mp3	Мамлекеттик дирекциянын башчысына билдирдик.
common_voice_ky_17443466.mp3	Аны менен кошо дагы сегиз киши соттолгон.
common_voice_ky_17443467.mp3	Бул Атамбаевдин буйругу экени баарыңыздарга маалым .
common_voice_ky_17443469.mp3	Алар бизди кандашыбыз деп эсептешет.
common_voice_ky_17443470.mp3	Анткени АШКнын бардык мүчөлөрү соттун өкүмү боюнча кабардар эмес.
common_voice_ky_17443471.mp3	Столдор жетишсиз болот, ошондон кыйналабыз.
common_voice_ky_17443472.mp3	Соттолуучулар өкүм чыккан соң сот залында камакка алынды.
common_voice_ky_17443473.mp3	Финал аябай чыңалган абалда өттү.
common_voice_ky_17443474.mp3	Менин агаларым менен эжелерим кыргыз тилин так ошентип окушкан.
